Question,Answer
What are the treatments for Angelman Syndrome ?,"There is no specific therapy for Angelman syndrome. Medical therapy for seizures is usually necessary. Physical and occupational therapies, communication therapy, and behavioral therapies are important in allowing individuals with Angelman syndrome to reach their maximum developmental potential."
What is the outlook for Angelman Syndrome ?,"Most individuals with Angelman syndrome will have severe developmental delays, speech limitations, and motor difficulties. However, individuals with Angelman syndrome can have normal life spans and generally do not show developmental regression as they age. Early diagnosis and tailored interventions and therapies help improve quality of life."
what research (or clinical trials) is being done for Angelman Syndrome ?,"The NINDS supports and conducts research on neurogenetic disorders such as Angelman syndrome, to develop techniques to diagnose, treat, prevent, and ultimately cure them."
What are the treatments for Inclusion Body Myositis ?,"There is no cure for IBM, nor is there a standard course of treatment. The disease is generally unresponsive to corticosteroids and immunosuppressive drugs. Some evidence suggests that intravenous immunoglobulin may have a slight, but short-lasting, beneficial effect in a small number of cases. Physical therapy may be helpful in maintaining mobility. Other therapy is symptomatic and supportive."
What is the outlook for Inclusion Body Myositis ?,IBM is generally resistant to all therapies and its rate of progression appears to be unaffected by currently available treatments.
What are the treatments for Subacute Sclerosing Panencephalitis ?,"Currently, there is no cure for SSPE. Clinical trials of antiviral (isoprinosine and ribavirin) and immunomodulatory (interferon alpha) drugs have suggested that these types of therapies given alone or in combination halt the progression of the disease and can prolong life, but their long-term effects on individuals, and eventual outcome, are unknown. Good nursing care is the most important aspect of treatment for SSPE, along with anticonvulsant and antispasmodic drugs when needed."
what research (or clinical trials) is being done for Subacute Sclerosing Panencephalitis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes at the National Institutes of Health conduct research related to SSPE in their clinics and laboratories and support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat and ultimately cure SSPE."
What are the treatments for Hemifacial Spasm ?,"Surgical treatment in the form of microvascular decompression, which relieves pressure on the facial nerve, will relieve hemifacial spasm in many cases. This intervention has significant potential side-effects, so risks and benefits have to be carefully balanced. Other treatments include injections of botulinum toxin into the affected areas, which is the most effective therapy and the only one used in most cases. Drug therapy is generally not effective."
What is the outlook for Hemifacial Spasm ?,"The prognosis for an individual with hemifacial spasm depends on the treatment and their response. Some individuals will become relatively free from symptoms with injection therapy. Some may require surgery. In most cases, a balance can be achieved, with tolerable residual symptoms."
what research (or clinical trials) is being done for Hemifacial Spasm ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts and supports research related to hemifacial spams through grants to major research institutions across the country. Much of this research focuses on better ways to prevent, treat, and ultimately cure neurological disorders, such as hemifacial spasm."
What are the treatments for Olivopontocerebellar Atrophy ?,"There is no specific treatmentfor OPCA. Physicians may try different medications to treat the ataxia, tremor, and rigidity that are associated with the disorder. Other treatments are directed at specific symptoms. Stiffness, spasms, sleep disorders, depression, and tremor may be improved with medication. A physical therapist may be helpful in establishing a routine of exercise and stretching, and in obtaining devices or appliances to assist in walking and other daily activities."
What is the outlook for Olivopontocerebellar Atrophy ?,There is no cure for OPCA. The disorder is slowly progressive with death usually occurring approximately 20 years after onset.
what research (or clinical trials) is being done for Olivopontocerebellar Atrophy ?,"The NINDS supports and conducts a broad range of basic and clinical research on cerebellar degeneration, including work aimed at finding the cause(s) of OPCA and ways to treat, cure, and, ultimately, prevent the disease. There has been great progress recently since the genes for several of the hereditary forms of OPCA have been found."
